career_title,category,python,javascript,react,django,sql,machine_learning,data_analysis,html_css,nodejs,communication,problem_solving,teamwork,git,docker,cloud_computing,cybersecurity,ui_ux_design,agile,testing,api_design
Full Stack Developer,Engineering,7,9,8,7,7,3,3,8,8,6,8,7,8,5,4,3,5,6,6,7
Frontend Developer,Engineering,4,9,9,2,3,2,2,9,5,6,7,7,7,3,3,2,8,6,5,4
Backend Developer,Engineering,8,6,3,8,8,3,4,3,7,6,8,7,8,6,5,3,3,5,6,8
Data Scientist,Data & AI,9,4,3,5,7,9,9,2,3,7,9,6,7,5,5,2,3,5,4,5
Machine Learning Engineer,Data & AI,9,3,2,4,5,9,8,2,3,6,9,6,7,7,6,2,2,5,5,6
Data Analyst,Data & AI,7,3,2,3,8,5,9,3,2,8,7,6,5,3,3,2,3,5,3,3
AI Research Scientist,Data & AI,9,2,2,3,4,9,7,2,2,7,9,5,6,4,4,2,2,4,4,4
DevOps Engineer,Engineering,7,4,2,3,4,3,3,2,5,6,8,7,8,9,9,5,2,6,5,5
Cloud Architect,Engineering,6,4,2,3,4,3,4,2,4,7,8,7,7,8,9,5,2,6,4,5
Cybersecurity Analyst,Security,6,4,2,2,4,3,4,2,3,7,8,6,5,4,5,9,2,5,5,4
Penetration Tester,Security,7,5,2,2,4,3,3,3,3,5,9,5,5,5,4,9,2,4,5,3
UI/UX Designer,Design,3,6,6,2,2,2,3,8,3,8,7,7,5,3,2,2,9,6,4,3
Product Manager,Management,4,3,3,3,3,3,5,3,3,9,8,9,5,3,3,3,6,9,4,5
Software Tester/QA Engineer,Engineering,6,5,4,4,4,2,3,4,4,6,7,7,7,4,4,3,3,6,9,5
Mobile App Developer,Engineering,4,8,7,2,4,2,2,7,6,6,8,7,7,4,3,2,7,6,5,5
Database Administrator,Engineering,5,3,2,3,9,2,5,2,3,6,7,6,5,5,4,4,2,4,4,5
Blockchain Developer,Engineering,6,7,4,3,4,3,3,3,6,5,9,5,7,5,4,4,2,4,4,5
Game Developer,Engineering,5,7,3,2,3,3,2,4,4,5,9,7,7,4,3,2,6,5,5,3
Technical Writer,Content,5,4,3,3,3,3,4,4,3,9,6,6,5,3,2,3,5,5,3,4
Digital Marketing Analyst,Marketing,4,4,3,2,4,3,7,5,3,8,6,7,4,2,3,2,6,5,3,4
